symbol,sic,sector
CUZ,6798,financials
CVBF,6022,financials
CVCO,2451,other
CVI,2911,energy
CVLT,7372,tech
CVSA,8200,consumer
CW,3590,industrials
CWEN,4911,utilities
CWEN.A,,other
CWK,6500,financials
CWST,4953,utilities
CWT,4941,utilities
CXM,7372,tech
CXT,3490,industrials
CXW,6798,financials
CYTK,2834,healthcare
CZR,7011,consumer
DAN,3714,industrials
DAR,2070,consumer
DBD,3578,tech
DBX,7372,tech
DCH,3714,industrials
DCI,3564,industrials
DCOM,6021,financials
DEA,6798,financials
DEI,6798,financials
DFH,1531,other
DFIN,7380,consumer
DGII,3576,tech
DINO,4610,other
DIOD,3674,tech
DKS,5940,consumer
DLB,6794,financials
DLX,2780,other
DNOW,3533,industrials
DOCN,7370,tech
DOCS,7371,tech
DOCU,7372,tech
DORM,3714,industrials
DRH,6798,financials
DT,7372,tech
DTM,4922,utilities
DUOL,7372,tech
DV,7370,tech
DXC,7374,tech
DXPE,5084,consumer
DY,1623,other
EAT,5812,consumer
ECG,1531,other
ECPG,6153,financials
EEFT,6099,financials
EFC,6500,financials
EFOR,7363,consumer
EGBN,6022,financials
EGP,6798,financials
EHC,8060,healthcare
EIG,6331,financials
ELAN,2834,healthcare
ELF,2844,materials
ELS,6798,financials
EMBC,3841,healthcare
EMN,2821,materials
ENOV,3842,healthcare
ENPH,3674,tech
ENR,3690,tech
ENS,3690,tech
ENSG,8051,healthcare
ENTG,3089,other
ENVA,6141,financials
EPAC,3590,industrials
EPC,2844,materials
EPR,6798,financials
EPRT,6798,financials
EQH,6411,financials
ESAB,3569,industrials
ESE,3669,industrials
ESI,2890,materials
ESNT,6351,financials
ETD,2511,other
ETSY,7389,consumer
EVR,6282,financials
EVTC,7374,tech
EWBC,6022,financials
EXEL,2836,healthcare
EXLS,7389,consumer
EXP,3241,other
EXPO,8742,consumer
EXTR,3576,tech
EYE,3851,healthcare
EZPW,5900,consumer
FAF,6361,financials
FBIN,2430,other
FBK,6022,financials
FBNC,6022,financials
FBP,6022,financials
FBRT,6798,financials
FCF,6021,financials
FCFS,5900,consumer
FCN,8742,consumer
FCPT,6798,financials
FDP,100,other
FELE,3621,industrials
FFBC,6021,financials
FFIN,6022,financials
FG,6311,financials
FHB,6022,financials
FHI,6282,financials
FHN,6021,financials
FIBK,6022,financials
FIVE,5331,consumer
FIZZ,2086,consumer
FLEX,3672,tech
FLG,6036,financials
FLO,2000,consumer
FLR,1600,other
FLS,3561,industrials
FMC,2800,materials
FN,3661,industrials
FNB,6021,financials
FND,5211,consumer
FNF,6361,financials
FORM,3674,tech
FOUR,7389,consumer
FOXF,3751,industrials
FR,6798,financials
FRPT,2040,consumer
FSS,3711,industrials
FTDR,7340,consumer
FTI,3533,industrials
FTRE,8071,healthcare
FUL,2891,materials
FULT,6021,financials
FUN,7900,consumer
FWRD,4731,other
G,8742,consumer
GAP,5651,consumer
GATX,4700,other
GBCI,6022,financials
GBX,3743,industrials
GDYN,7372,tech
GEF,3412,industrials
GEO,1520,other
GFF,3442,industrials
GGG,3561,industrials
GHC,8200,consumer
GIII,2300,consumer
GKOS,3841,healthcare
GLPI,6798,financials
GME,5734,consumer
GMED,3841,healthcare
GNL,6798,financials
GNTX,3714,industrials
GNW,6311,financials
GO,5411,consumer
GOGO,4899,other
GOLF,3949,industrials
GPI,5500,consumer
GPK,2650,other
GRBK,1531,other
GSHD,6411,financials
GT,3011,other
GTES,3560,industrials
GTLS,3443,industrials
GTM,7372,tech
GTY,6500,financials
GVA,1600,other
GWRE,7372,tech
GXO,4700,other
H,7011,consumer
HAE,3841,healthcare
HAFC,6021,financials
HALO,2836,healthcare
HASI,6799,financials
HAYW,3580,industrials
HCC,1220,materials
HCI,6331,financials
HCSG,8050,healthcare
HE,4911,utilities
HFWA,6036,financials
HGV,7000,consumer
HIMS,8011,healthcare
HIW,6798,financials
HL,1400,materials
HLI,6282,financials
HLIT,3663,industrials
HLNE,6282,financials
HLX,1389,energy
HMN,6331,financials
HNI,2522,other
HOG,3751,industrials
HOMB,6022,financials
HOPE,6021,financials
HP,1381,energy
HQY,7389,consumer
HR,6798,financials
HRB,7200,consumer
HRMY,2834,healthcare
HSTM,7370,tech
HTH,6022,financials
HTLD,4213,other
HTO,4941,utilities
HTZ,7510,consumer
HUBG,4731,other
HWC,6022,financials
HWKN,5160,consumer
HXL,2821,materials
HZO,5531,consumer
IAC,7370,tech
IART,3841,healthcare
IBOC,6022,financials
IBP,1520,other
ICHR,3674,tech
ICUI,3841,healthcare
IDA,4911,utilities
IDCC,6794,financials
IIIN,3310,other
IIPR,6500,financials
ILMN,3826,industrials
INDB,6022,financials
INDV,2834,healthcare
INGR,2040,consumer
INSP,3841,healthcare
INSW,4400,other
INVA,2834,healthcare
