date,nc_net,comm_net,open_interest
2012-12-18,41706,-76556,923950
2012-12-24,25222,-61696,728890
2012-12-31,28293,-64540,739159
2013-01-08,23318,-54200,751437
2013-01-15,23195,-50482,754799
2013-01-22,16895,-39751,788046
2013-01-29,21184,-38859,805010
2013-02-05,30443,-55328,807925
2013-02-12,21359,-39654,830577
2013-02-19,19744,-37925,856539
2013-02-26,20440,-47848,875260
2013-03-05,46627,-65406,892367
2013-03-12,49910,-69460,1017100
2013-03-19,56800,-78199,724003
2013-03-26,51065,-69262,745524
2013-04-02,49313,-70033,763804
2013-04-09,47338,-69122,775766
2013-04-16,51433,-77685,772200
2013-04-23,40097,-68159,782302
2013-04-30,56172,-84419,791342
2013-05-07,43789,-70653,816274
2013-05-14,43610,-70581,846248
2013-05-21,32457,-60677,860454
2013-05-28,41960,-77256,876502
2013-06-04,35179,-46023,867486
2013-06-11,26452,-35476,894602
2013-06-18,32202,-36829,991389
2013-06-25,23811,-54732,703009
2013-07-02,20271,-48440,703729
2013-07-09,18722,-46747,705746
2013-07-16,37438,-64910,716164
2013-07-23,40224,-68367,727263
2013-07-30,46162,-72719,730838
2013-08-06,28902,-59002,732142
2013-08-13,29164,-58651,738273
2013-08-20,26689,-55348,754996
2013-08-27,10531,-35759,780789
2013-09-03,9129,-31064,789961
2013-09-10,3985,-20847,810027
2013-09-17,21423,-46157,917682
2013-09-24,30142,-67971,675574
2013-10-01,28835,-65212,677685
2013-10-08,14485,-54839,701923
2013-10-15,21591,-59214,695078
2013-10-22,22309,-47404,708537
2013-10-29,34870,-60010,721121
2013-11-05,33489,-66135,728659
2013-11-12,32393,-61671,728575
2013-11-19,19858,-49990,745718
2013-11-26,24096,-57519,741827
2013-12-03,18149,-52418,748300
2013-12-10,18737,-54729,764651
2013-12-17,30396,-60997,873627
2013-12-24,25209,-58567,684782
2013-12-31,24662,-56857,700432
2014-01-07,29788,-64393,699646
2014-01-14,22675,-54827,719529
2014-01-21,6611,-36958,722076
2014-01-28,4009,-39722,743768
2014-02-04,1334,-38995,771947
2014-02-11,-20677,-8722,808380
2014-02-18,-12085,-17157,833784
2014-02-25,-3666,-30883,851046
2014-03-04,5235,-35053,880372
2014-03-11,-7016,-25219,899687
2014-03-18,3836,-35693,1029593
2014-03-25,7088,-38178,683526
2014-04-01,15151,-45400,681463
2014-04-08,5320,-38072,676428
2014-04-15,-687,-31416,688040
2014-04-22,2471,-27594,686751
2014-04-29,6931,-38446,702673
2014-05-06,-3818,-23686,703712
2014-05-13,4407,-33438,729317
2014-05-20,-18724,-14462,742933
2014-05-27,-2480,-22203,758245
2014-06-03,-11915,-16680,774514
2014-06-10,-12881,-8049,814572
2014-06-17,-6783,-16177,914025
2014-06-24,-10060,-11719,705455
2014-07-01,-3704,-21470,727127
2014-07-08,-10772,-9475,727096
2014-07-15,-1848,-22315,726972
2014-07-22,3490,-24514,739612
2014-07-29,-4557,-19410,746886
2014-08-05,619,-27060,746293
2014-08-12,-2709,-22428,752126
2014-08-19,-2300,-17706,764463
2014-08-26,-2975,-15910,769648
2014-09-02,-8708,-12329,781007
2014-09-09,-4771,-22242,818907
2014-09-16,13250,-35949,949208
2014-09-23,-5590,-20977,687035
2014-09-30,5916,-35471,688127
2014-10-07,1000,-28002,683188
2014-10-14,4872,-38789,695436
2014-10-21,-13254,-11233,720693
2014-10-28,-11761,-13772,732657
2014-11-04,-3555,-20294,728520
2014-11-11,4543,-28666,730037
2014-11-18,11683,-37902,753656
2014-11-25,6138,-28663,772687
2014-12-02,16254,-39903,776987
2014-12-09,11404,-35804,775987
2014-12-16,28162,-56147,832516
2014-12-23,26870,-51027,672428
2014-12-30,32202,-55728,677927
2015-01-06,33583,-65360,675726
2015-01-13,23875,-51594,671513
2015-01-20,20117,-49393,671899
2015-01-27,17857,-44360,672635
2015-02-03,18898,-46094,689848
2015-02-10,22246,-47892,703790
2015-02-17,22570,-47854,705929
2015-02-24,6747,-31269,729019
2015-03-03,1247,-24859,754597
