symbol,market,period_end,asof_ts,revenue,operating_income,net_income,free_cash_flow,total_assets,total_equity,total_debt,shares_out,eps,source
BAX,us,2025-03-31,2025-05-06T00:00:00,2625000000.0,,126000000.0,,,7081000000.0,11000000.0,,0.25,sec_edgar:companyfacts
BAX,us,2025-06-30,2025-08-05T00:00:00,5435000000.0,,217000000.0,,,7320000000.0,6000000.0,,0.42,sec_edgar:companyfacts
BAX,us,2025-09-30,2025-11-04T00:00:00,8270000000.0,,171000000.0,,,7241000000.0,4000000.0,,0.33,sec_edgar:companyfacts
BAX,us,2025-12-31,2026-02-12T00:00:00,11244000000.0,,-957000000.0,332000000.0,,6129000000.0,9439000000.0,,-1.87,sec_edgar:companyfacts
BAX,us,2026-03-31,2026-04-30T00:00:00,2701000000.0,,-15000000.0,,,6043000000.0,0.0,,-0.03,sec_edgar:companyfacts
BKNG,us,2008-12-31,2012-02-27T00:00:00,,,182246000.0,297231000.0,,698826000.0,,,3.74,sec_edgar:companyfacts
BKNG,us,2009-03-31,2011-02-25T00:00:00,,,25023000.0,,,,,,0.53,sec_edgar:companyfacts
BKNG,us,2009-06-30,2010-08-04T00:00:00,,,92034000.0,160107000.0,,,,,1.92,sec_edgar:companyfacts
BKNG,us,2009-09-30,2010-11-09T00:00:00,,,411017000.0,353498000.0,,,,,8.42,sec_edgar:companyfacts
BKNG,us,2009-12-31,2012-02-27T00:00:00,,,489472000.0,494559000.0,,1321629000.0,,,9.88,sec_edgar:companyfacts
BKNG,us,2010-03-31,2011-05-06T00:00:00,,,53875000.0,99866000.0,,,,,1.06,sec_edgar:companyfacts
BKNG,us,2010-06-30,2010-08-04T00:00:00,,,168832000.0,281783000.0,,,,,3.31,sec_edgar:companyfacts
BKNG,us,2010-09-30,2010-11-09T00:00:00,,,391812000.0,582909000.0,,,,,7.7,sec_edgar:companyfacts
BKNG,us,2010-12-31,2011-05-06T00:00:00,,,527541000.0,754704000.0,,1813336000.0,,,10.35,sec_edgar:companyfacts
BKNG,us,2011-03-31,2012-02-27T00:00:00,,,104790000.0,267940000.0,,1724401000.0,,,2.05,sec_edgar:companyfacts
BKNG,us,2011-06-30,2012-02-27T00:00:00,,,256368000.0,481425000.0,,1989627000.0,,,7.06,sec_edgar:companyfacts
BKNG,us,2011-09-30,2012-02-27T00:00:00,,,469499000.0,1030201000.0,,2390299000.0,,,16.23,sec_edgar:companyfacts
BKNG,us,2011-12-31,2012-02-27T00:00:00,,,225715000.0,,,2574295000.0,,,20.63,sec_edgar:companyfacts
BKNG,us,2012-03-31,2013-02-27T00:00:00,,,181970000.0,,,2591659000.0,,,3.54,sec_edgar:companyfacts
BKNG,us,2012-06-30,2013-02-27T00:00:00,,,352347000.0,,,2927787000.0,,,10.41,sec_edgar:companyfacts
